,converted,lead_number,pg_view_pv,totalvisits,ttime_on_site,lead_source,last_activity,country,specialization,curr_occupation,tags,city,avail_free_copy_1,do_not_email_1,lead_origin_Landing Page Submission,lead_origin_Lead Add Form,lead_origin_Lead Import,lead_origin_Quick Add Form,reason_behind_course_Flexibility & Convenience,reason_behind_course_Other
31,0,660374,1.5,3.0,88.0,3,5,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,660361,2.0,4.0,223.0,11,10,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,660339,1.5,3.0,74.0,7,5,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1,660333,2.0,4.0,16.0,7,10,12,3,4,19,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,1,660321,3.0,3.0,98.0,11,5,12,7,4,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,660312,4.0,4.0,1622.0,3,13,12,12,4,14,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,1,660267,5.0,5.0,563.0,3,5,12,4,5,19,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,0,660255,2.0,2.0,310.0,3,3,12,18,4,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1,660236,4.0,4.0,25.0,3,5,12,12,4,19,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,0,660235,3.0,3.0,342.0,1,5,12,18,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,660222,6.0,7.0,38.0,7,14,12,13,4,1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
42,0,660215,5.0,5.0,199.0,3,5,12,18,4,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,660203,5.0,5.0,222.0,3,5,12,4,4,26,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,0,660194,3.0,6.0,275.0,1,5,12,12,4,20,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,0,660180,2.0,4.0,287.0,3,5,12,10,4,14,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,0,660174,2.0,2.0,547.0,1,5,12,4,4,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47,0,660153,0.0,0.0,0.0,6,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,660149,6.0,6.0,1225.0,3,10,12,16,4,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,660128,0.0,0.0,0.0,6,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1,660087,0.0,0.0,0.0,6,5,12,18,4,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0,660070,5.0,5.0,160.0,3,5,12,1,4,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52,0,660069,2.0,6.0,394.0,7,13,12,3,4,14,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
53,0,660050,1.5,6.0,286.0,3,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0,660048,2.33,7.0,96.0,7,5,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,660030,2.0,2.0,12.0,7,5,12,18,4,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1,659998,6.0,11.0,436.0,11,7,12,8,4,1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,1,659963,6.0,8.0,903.0,11,10,12,4,4,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0,659942,6.0,11.0,409.0,7,5,12,7,4,8,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,0,659937,5.5,11.0,685.0,11,5,12,15,4,4,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,0,659931,4.0,4.0,213.0,3,7,12,9,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0,659925,0.0,0.0,0.0,6,5,12,18,4,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1,659918,3.5,7.0,1468.0,7,10,12,10,4,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0,659896,0.0,0.0,0.0,6,3,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1,659889,4.0,4.0,1435.0,1,5,12,12,5,19,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
65,1,659875,1.0,1.0,157.0,3,1,12,6,4,19,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66,1,659853,1.5,3.0,885.0,3,8,12,12,4,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1,659849,0.0,0.0,0.0,6,5,12,18,4,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0,659833,0.0,0.0,0.0,6,15,12,4,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0,659830,0.0,0.0,0.0,6,9,12,18,4,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0,659819,1.0,1.0,1710.0,1,1,12,13,4,0,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
71,0,659820,4.0,4.0,219.0,1,5,12,1,4,14,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
72,0,659806,3.0,3.0,111.0,11,2,12,9,4,14,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
73,0,659784,6.0,6.0,224.0,7,10,12,18,4,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0,659782,1.67,5.0,224.0,1,10,12,12,4,26,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
75,1,659779,2.0,2.0,1071.0,1,5,12,10,4,10,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76,1,659727,3.0,6.0,595.0,3,5,12,0,5,19,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
77,1,659722,2.2589443040755794,3.2206964736899923,1096.0,14,17,12,18,4,26,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78,0,659720,4.0,4.0,520.0,11,5,12,12,4,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1,659710,2.2589443040755794,3.2206964736899923,705.0,10,17,12,6,5,19,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
80,0,659708,2.0,2.0,393.0,3,5,12,18,4,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1,659705,2.2589443040755794,3.2206964736899923,346.0,14,17,12,18,4,26,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82,1,659704,0.0,0.0,0.0,6,3,12,12,5,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0,659700,0.0,0.0,0.0,6,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1,659696,3.0,3.0,1136.0,3,10,12,8,4,19,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
85,0,659685,3.0,3.0,335.0,11,5,12,18,4,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0,659676,4.0,4.0,75.0,11,5,12,18,4,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0,659644,3.0,6.0,97.0,1,5,16,16,4,26,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
88,1,659631,2.2589443040755794,3.2206964736899923,1007.0,10,17,12,7,4,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
89,0,659630,2.0,2.0,1085.0,7,1,12,14,4,8,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
90,0,659614,3.0,3.0,214.0,7,10,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1,659607,1.5,6.0,1158.0,6,5,12,1,4,26,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0,659600,4.0,4.0,101.0,3,5,12,4,4,26,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
93,0,659582,4.5,9.0,838.0,3,5,12,5,4,26,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
94,0,659567,3.0,3.0,536.0,1,13,12,4,4,22,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
95,0,659562,2.0,4.0,161.0,1,13,12,10,4,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
96,0,659555,2.0,2.0,511.0,3,7,12,5,4,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
97,0,659545,0.0,0.0,0.0,6,9,12,18,4,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1,659523,5.0,5.0,1110.0,3,9,12,7,5,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1,659507,5.0,5.0,1563.0,1,5,12,4,4,19,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
100,0,659492,3.5,7.0,1633.0,11,1,12,18,4,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1,659480,0.0,0.0,0.0,6,5,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0,659474,4.0,11.0,809.0,3,13,12,4,4,26,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
103,0,659469,2.0,2.0,638.0,1,10,21,5,4,24,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
104,1,659463,5.0,5.0,1196.0,3,10,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0,659447,6.0,6.0,1485.0,7,5,12,16,4,14,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
106,0,659438,3.0,9.0,125.0,3,10,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,1,659437,3.0,3.0,165.0,3,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0,659411,3.0,6.0,398.0,3,9,12,3,4,26,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
109,0,659407,3.0,3.0,570.0,7,1,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1,659395,6.0,6.0,895.0,7,5,12,12,4,19,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
111,1,659371,4.0,4.0,1190.0,3,5,12,7,4,19,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112,1,659369,0.0,0.0,0.0,10,3,12,1,5,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
113,0,659366,5.0,5.0,1566.0,1,1,12,18,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,1,659364,5.0,5.0,727.0,3,5,12,18,4,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0,659357,4.0,8.0,652.0,3,13,12,6,4,14,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
116,0,659345,1.33,4.0,1248.0,7,5,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0,659334,2.0,2.0,767.0,3,5,12,18,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0,659293,3.33,10.0,275.0,11,10,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0,659287,3.0,3.0,273.0,7,1,12,18,4,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,1,659283,2.2589443040755794,3.2206964736899923,1111.0,10,17,12,10,5,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
121,0,659281,4.0,8.0,277.0,3,5,12,4,4,26,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
122,1,659263,1.5,3.0,1207.0,7,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0,659248,1.0,2.0,39.0,3,1,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0,659244,4.0,4.0,1638.0,3,5,12,4,4,14,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
125,0,659241,6.0,11.0,53.0,11,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0,659238,1.0,1.0,127.0,1,1,12,4,4,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
127,0,659221,5.0,5.0,100.0,7,10,12,16,4,24,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
128,0,659217,4.0,4.0,323.0,3,14,12,9,4,26,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
129,1,659203,1.0,2.0,160.0,3,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,1,659191,0.0,0.0,0.0,10,5,12,10,0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
131,0,659182,1.0,1.0,263.0,3,1,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0,659170,2.0,2.0,1218.0,3,9,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,1,659158,2.2589443040755794,3.2206964736899923,986.0,10,17,12,10,5,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
134,1,659153,2.2589443040755794,3.2206964736899923,889.0,14,17,12,18,4,26,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
135,1,659146,5.0,5.0,1091.0,3,13,12,4,4,19,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
136,0,659142,4.0,4.0,291.0,1,9,12,16,4,26,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
137,1,659141,0.0,0.0,0.0,10,5,12,6,4,2,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
138,0,659138,1.0,1.0,1759.0,3,9,12,18,4,26,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0,659132,3.5,7.0,41.0,11,5,12,15,4,26,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140,0,659123,5.0,5.0,386.0,3,5,12,1,4,8,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141,0,659117,2.0,6.0,216.0,11,10,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,1,659106,5.0,5.0,1603.0,3,5,12,12,4,19,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
143,0,659094,3.5,7.0,106.0,17,10,12,18,4,26,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
144,0,659079,2.0,2.0,73.0,3,13,12,18,4,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0,659076,2.0,2.0,77.0,3,1,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,0,659074,3.0,3.0,718.0,1,13,12,6,4,26,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
147,0,659069,1.67,5.0,432.0,3,9,12,10,4,26,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
148,0,659057,2.5,5.0,232.0,3,5,12,7,4,8,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
149,0,659050,2.0,2.0,702.0,1,5,12,6,4,12,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150,1,659038,5.0,5.0,614.0,7,13,12,4,4,19,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
151,1,659036,1.0,1.0,1808.0,1,1,12,8,4,10,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
152,0,659016,1.0,2.0,234.0,1,2,12,4,4,21,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
153,0,659013,3.0,3.0,245.0,1,13,12,4,4,14,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
154,1,658983,4.0,8.0,1268.0,7,5,12,12,4,19,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
155,0,658976,2.0,2.0,56.0,3,2,12,18,4,24,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
156,0,658932,2.0,4.0,174.0,11,3,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,0,658917,2.0,4.0,1149.0,1,5,12,18,4,14,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
158,0,658888,2.0,2.0,333.0,1,5,12,3,4,26,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
159,0,658856,2.33,7.0,471.0,7,5,12,18,4,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,1,658852,3.0,3.0,1010.0,1,5,12,16,4,19,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
161,1,658831,3.33,10.0,1815.0,6,8,12,12,4,19,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,0,658828,2.0,2.0,47.0,1,3,12,1,4,14,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
163,1,658826,1.5,3.0,1528.0,1,5,12,12,4,19,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164,1,658793,6.0,6.0,919.0,3,5,12,4,4,19,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
165,0,658779,5.0,10.0,194.0,7,3,12,11,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,0,658773,1.0,1.0,1173.0,7,1,12,18,4,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,0,658766,2.0,2.0,351.0,3,5,12,18,4,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0,658756,6.0,11.0,493.0,11,3,12,10,4,26,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
169,0,658744,1.5,3.0,381.0,1,10,12,12,4,14,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
170,0,658714,2.0,2.0,1944.0,11,5,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0,658689,5.0,5.0,65.0,3,13,12,7,4,14,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
172,0,658686,6.0,7.0,1334.0,7,5,12,1,4,8,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,0,658677,6.0,7.0,615.0,3,7,12,0,4,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,1,658675,0.0,0.0,0.0,10,5,12,4,5,19,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
175,0,658656,1.0,1.0,250.0,3,2,12,18,4,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,0,658652,2.0,2.0,383.0,1,3,12,1,4,26,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
177,1,658648,2.2589443040755794,3.2206964736899923,1240.0,14,17,12,18,4,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
178,1,658634,0.0,0.0,0.0,10,5,12,0,5,19,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
179,1,658627,2.2589443040755794,3.2206964736899923,458.0,14,17,12,18,4,26,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
180,1,658623,2.2589443040755794,3.2206964736899923,1060.0,14,17,12,18,4,26,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
181,0,658620,0.0,0.0,0.0,6,5,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,0,658618,4.0,4.0,904.0,11,9,12,18,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,0,658612,1.0,1.0,164.0,3,1,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,0,658606,2.0,2.0,1793.0,3,1,12,18,4,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,0,658597,5.0,5.0,1841.0,7,9,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,1,658571,2.67,8.0,877.0,7,3,12,0,4,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,1,658561,0.0,0.0,0.0,10,13,12,13,4,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
188,1,658546,6.0,11.0,1411.0,7,5,12,4,4,19,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
189,1,658531,6.0,6.0,385.0,7,1,12,18,4,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,0,658527,0.0,0.0,0.0,6,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,0,658481,1.71,11.0,68.0,3,10,12,11,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,0,658470,0.0,0.0,0.0,6,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0,658458,3.0,3.0,192.0,3,5,12,9,4,26,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
194,0,658448,5.0,5.0,309.0,3,9,12,4,4,26,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
195,1,658432,2.2589443040755794,3.2206964736899923,785.0,10,0,12,18,4,19,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
196,0,658430,4.0,4.0,342.0,7,5,12,18,4,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,0,658421,1.0,2.0,78.0,3,5,12,18,4,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,0,658407,0.0,0.0,0.0,6,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,0,658405,0.0,0.0,0.0,6,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,1,658398,1.67,5.0,1234.0,7,5,12,9,3,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,0,658353,6.0,8.0,14.0,7,9,12,18,4,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,0,658323,0.0,0.0,0.0,6,9,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,0,658322,4.0,4.0,77.0,11,13,12,18,4,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,1,658321,3.0,3.0,1299.0,11,9,12,18,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,1,658309,0.0,0.0,0.0,10,5,12,4,4,19,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
206,0,658299,2.0,2.0,457.0,11,5,12,18,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
