,lead_number,lead_origin,lead_source,do_not_email,converted,totalvisits,ttime_on_site,pg_view_pv,last_activity,country,specialization,curr_occupation,reason_behind_course,tags,city,avail_free_copy
27,660424,Landing Page Submission,Google,0,1,6.0,1315.0,6.0,Email Opened,India,Media and Advertising,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0
28,660423,Landing Page Submission,Direct Traffic,0,0,5.0,182.0,5.0,Email Opened,India,,Student,Better Career Prospects,switched off,Mumbai,0
29,660410,API,Google,0,1,3.0,78.0,3.0,Unreachable,India,International Business,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0
30,660402,Landing Page Submission,Direct Traffic,0,1,7.0,1174.0,3.5,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,1
31,660374,API,Google,0,0,3.0,88.0,1.5,Email Opened,India,,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
32,660361,API,Referral Sites,0,0,4.0,223.0,2.0,Page Visited on Website,India,,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
33,660339,API,Organic Search,0,0,3.0,74.0,1.5,Email Opened,India,,Unemployed,Better Career Prospects,,Mumbai,0
34,660333,Landing Page Submission,Organic Search,0,1,4.0,16.0,2.0,Page Visited on Website,India,E-COMMERCE,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,1
35,660321,API,Referral Sites,0,1,3.0,98.0,3.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,Will revert after reading the email,Thane & Outskirts,0
36,660312,Landing Page Submission,Google,0,0,4.0,1622.0,4.0,Unreachable,India,Operations Management,Unemployed,Better Career Prospects,Ringing,Mumbai,0
37,660267,Landing Page Submission,Google,0,1,5.0,563.0,5.0,Email Opened,India,Finance Management,Working Professional,Better Career Prospects,Will revert after reading the email,Mumbai,0
38,660255,API,Google,0,0,2.0,310.0,2.0,Email Link Clicked,India,,Unemployed,Better Career Prospects,Ringing,Mumbai,0
39,660236,Landing Page Submission,Google,0,1,4.0,25.0,4.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities of Maharashtra,0
40,660235,API,Direct Traffic,0,0,3.0,342.0,3.0,Email Opened,India,,Unemployed,Better Career Prospects,Busy,Mumbai,0
41,660222,Landing Page Submission,Organic Search,1,0,7.0,38.0,6.0,Unsubscribed,India,Retail Management,Unemployed,Better Career Prospects,Busy,Mumbai,1
42,660215,API,Google,0,0,5.0,199.0,5.0,Email Opened,India,,Unemployed,Better Career Prospects,Ringing,Mumbai,0
43,660203,Landing Page Submission,Google,0,0,5.0,222.0,5.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,,Mumbai,0
44,660194,Landing Page Submission,Direct Traffic,0,0,6.0,275.0,3.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,in touch with EINS,Mumbai,1
45,660180,Landing Page Submission,Google,0,0,4.0,287.0,2.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,Ringing,Mumbai,0
46,660174,Landing Page Submission,Direct Traffic,0,0,2.0,547.0,2.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,Already a student,Mumbai,1
47,660153,API,Olark Chat,0,0,0.0,0.0,0.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,,Mumbai,0
48,660149,API,Google,0,0,6.0,1225.0,6.0,Page Visited on Website,India,Supply Chain Management,Unemployed,Better Career Prospects,Diploma holder (Not Eligible),Thane & Outskirts,0
49,660128,API,Olark Chat,0,0,0.0,0.0,0.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,,Mumbai,0
50,660087,API,Olark Chat,0,1,0.0,0.0,0.0,Email Opened,India,,Unemployed,Better Career Prospects,Will revert after reading the email,Thane & Outskirts,0
51,660070,Landing Page Submission,Google,0,0,5.0,160.0,5.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,Already a student,Mumbai,0
52,660069,Landing Page Submission,Organic Search,0,0,6.0,394.0,2.0,Unreachable,India,E-COMMERCE,Unemployed,Better Career Prospects,Ringing,Mumbai,1
53,660050,API,Google,0,0,6.0,286.0,1.5,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,,Mumbai,0
54,660048,API,Organic Search,0,0,7.0,96.0,2.33,Email Opened,India,,Unemployed,Better Career Prospects,,Mumbai,0
55,660030,API,Organic Search,0,0,2.0,12.0,2.0,Email Opened,India,,Unemployed,Better Career Prospects,switched off,Mumbai,0
56,659998,Landing Page Submission,Referral Sites,0,1,11.0,436.0,6.0,Form Submitted on Website,India,IT Projects Management,Unemployed,Better Career Prospects,Busy,Other Metro Cities,0
57,659963,API,Referral Sites,0,1,8.0,903.0,6.0,Page Visited on Website,India,Finance Management,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities of Maharashtra,0
58,659942,Landing Page Submission,Organic Search,0,0,11.0,409.0,6.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,1
59,659937,Landing Page Submission,Referral Sites,0,0,11.0,685.0,5.5,Email Opened,India,Services Excellence,Unemployed,Better Career Prospects,Graduation in progress,Thane & Outskirts,1
60,659931,API,Google,0,0,4.0,213.0,4.0,Form Submitted on Website,India,International Business,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
61,659925,API,Olark Chat,0,0,0.0,0.0,0.0,Email Opened,India,,Unemployed,Better Career Prospects,Ringing,Mumbai,0
62,659918,API,Organic Search,0,1,7.0,1468.0,3.5,Page Visited on Website,India,Marketing Management,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0
63,659896,API,Olark Chat,0,0,0.0,0.0,0.0,Email Link Clicked,India,,Unemployed,Better Career Prospects,,Mumbai,0
64,659889,Landing Page Submission,Direct Traffic,0,1,4.0,1435.0,4.0,Email Opened,India,Operations Management,Working Professional,Better Career Prospects,Will revert after reading the email,Other Cities,1
65,659875,Landing Page Submission,Google,0,1,1.0,157.0,1.0,Converted to Lead,India,Hospitality Management,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities of Maharashtra,0
66,659853,API,Google,0,1,3.0,885.0,1.5,Had a Phone Conversation,India,Operations Management,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0
67,659849,API,Olark Chat,0,1,0.0,0.0,0.0,Email Opened,India,,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities of Maharashtra,0
68,659833,API,Olark Chat,0,0,0.0,0.0,0.0,View in browser link Clicked,India,Finance Management,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
69,659830,API,Olark Chat,0,0,0.0,0.0,0.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,Ringing,Mumbai,0
70,659819,Landing Page Submission,Direct Traffic,0,0,1.0,1710.0,1.0,Converted to Lead,India,Retail Management,Unemployed,Better Career Prospects,Already a student,Thane & Outskirts,1
71,659820,Landing Page Submission,Direct Traffic,0,0,4.0,219.0,4.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,Ringing,Mumbai,0
72,659806,Landing Page Submission,Referral Sites,1,0,3.0,111.0,3.0,Email Bounced,India,International Business,Unemployed,Better Career Prospects,Ringing,Other Metro Cities,1
73,659784,API,Organic Search,0,0,6.0,224.0,6.0,Page Visited on Website,India,,Unemployed,Better Career Prospects,switched off,Mumbai,0
74,659782,Landing Page Submission,Direct Traffic,0,0,5.0,224.0,1.67,Page Visited on Website,India,Operations Management,Unemployed,Better Career Prospects,,Other Cities of Maharashtra,1
75,659779,Landing Page Submission,Direct Traffic,0,1,2.0,1071.0,2.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,Lost to EINS,Other Cities of Maharashtra,1
76,659727,Landing Page Submission,Google,0,1,6.0,595.0,3.0,Email Opened,India,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,Will revert after reading the email,Mumbai,0
77,659722,Lead Add Form,Welingak Website,0,1,3.2206964736899923,1096.0,2.2589443040755794,Email Opened,India,,Unemployed,Better Career Prospects,,Mumbai,0
78,659720,API,Referral Sites,0,0,4.0,520.0,4.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,in touch with EINS,Mumbai,0
79,659710,Lead Add Form,Reference,0,1,3.2206964736899923,705.0,2.2589443040755794,Email Opened,India,Hospitality Management,Working Professional,Better Career Prospects,Will revert after reading the email,Thane & Outskirts,0
80,659708,API,Google,0,0,2.0,393.0,2.0,Email Opened,India,,Unemployed,Better Career Prospects,Ringing,Mumbai,0
81,659705,Lead Add Form,Welingak Website,0,1,3.2206964736899923,346.0,2.2589443040755794,Email Opened,India,,Unemployed,Better Career Prospects,,Mumbai,0
82,659704,API,Olark Chat,0,1,0.0,0.0,0.0,Email Link Clicked,India,Operations Management,Working Professional,Better Career Prospects,Will revert after reading the email,Mumbai,0
83,659700,API,Olark Chat,0,0,0.0,0.0,0.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,,Mumbai,0
84,659696,Landing Page Submission,Google,0,1,3.0,1136.0,3.0,Page Visited on Website,India,IT Projects Management,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0
85,659685,API,Referral Sites,0,0,3.0,335.0,3.0,Email Opened,India,,Unemployed,Better Career Prospects,Ringing,Mumbai,0
86,659676,API,Referral Sites,0,0,4.0,75.0,4.0,Email Opened,India,,Unemployed,Better Career Prospects,Ringing,Mumbai,0
87,659644,Landing Page Submission,Direct Traffic,0,0,6.0,97.0,3.0,Email Opened,Kuwait,Supply Chain Management,Unemployed,Better Career Prospects,,Mumbai,1
88,659631,Lead Add Form,Reference,0,1,3.2206964736899923,1007.0,2.2589443040755794,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,Closed by Horizzon,Mumbai,0
89,659630,Landing Page Submission,Organic Search,0,0,2.0,1085.0,2.0,Converted to Lead,India,Rural and Agribusiness,Unemployed,Better Career Prospects,Interested in other courses,Other Cities of Maharashtra,1
90,659614,API,Organic Search,0,0,3.0,214.0,3.0,Page Visited on Website,India,,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
91,659607,API,Olark Chat,0,1,6.0,1158.0,1.5,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,,Other Cities,1
92,659600,Landing Page Submission,Google,0,0,4.0,101.0,4.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,,Mumbai,0
93,659582,Landing Page Submission,Google,0,0,9.0,838.0,4.5,Email Opened,India,Healthcare Management,Unemployed,Better Career Prospects,,Mumbai,0
94,659567,Landing Page Submission,Direct Traffic,0,0,3.0,536.0,3.0,Unreachable,India,Finance Management,Unemployed,Better Career Prospects,number not provided,Mumbai,1
95,659562,Landing Page Submission,Direct Traffic,0,0,4.0,161.0,2.0,Unreachable,India,Marketing Management,Unemployed,Better Career Prospects,Busy,Mumbai,0
96,659555,Landing Page Submission,Google,0,0,2.0,511.0,2.0,Form Submitted on Website,India,Healthcare Management,Unemployed,Better Career Prospects,Diploma holder (Not Eligible),Mumbai,0
97,659545,API,Olark Chat,0,0,0.0,0.0,0.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,opp hangup,Mumbai,0
98,659523,API,Google,0,1,5.0,1110.0,5.0,Olark Chat Conversation,India,Human Resource Management,Working Professional,Better Career Prospects,Will revert after reading the email,Mumbai,0
99,659507,Landing Page Submission,Direct Traffic,0,1,5.0,1563.0,5.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,1
100,659492,API,Referral Sites,0,0,7.0,1633.0,3.5,Converted to Lead,India,,Unemployed,Better Career Prospects,Ringing,Mumbai,0
101,659480,API,Olark Chat,0,1,0.0,0.0,0.0,Email Opened,India,,Unemployed,Better Career Prospects,,Mumbai,0
102,659474,Landing Page Submission,Google,0,0,11.0,809.0,4.0,Unreachable,India,Finance Management,Unemployed,Better Career Prospects,,Mumbai,0
103,659469,Landing Page Submission,Direct Traffic,0,0,2.0,638.0,2.0,Page Visited on Website,Oman,Healthcare Management,Unemployed,Better Career Prospects,switched off,Mumbai,1
104,659463,API,Google,0,1,5.0,1196.0,5.0,Page Visited on Website,India,,Unemployed,Better Career Prospects,,Mumbai,0
105,659447,Landing Page Submission,Organic Search,0,0,6.0,1485.0,6.0,Email Opened,India,Supply Chain Management,Unemployed,Better Career Prospects,Ringing,Other Cities,1
106,659438,API,Google,0,0,9.0,125.0,3.0,Page Visited on Website,India,,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
107,659437,API,Google,0,1,3.0,165.0,3.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,,Mumbai,0
108,659411,Landing Page Submission,Google,0,0,6.0,398.0,3.0,Olark Chat Conversation,India,E-COMMERCE,Unemployed,Better Career Prospects,,Mumbai,1
109,659407,API,Organic Search,0,0,3.0,570.0,3.0,Converted to Lead,India,,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
110,659395,Landing Page Submission,Organic Search,0,1,6.0,895.0,6.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities of Maharashtra,1
111,659371,Landing Page Submission,Google,0,1,4.0,1190.0,4.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0
112,659369,Lead Add Form,Reference,0,1,0.0,0.0,0.0,Email Link Clicked,India,Business Administration,Working Professional,Better Career Prospects,Closed by Horizzon,Mumbai,0
113,659366,API,Direct Traffic,0,0,5.0,1566.0,5.0,Converted to Lead,India,,Unemployed,Better Career Prospects,Graduation in progress,Mumbai,0
114,659364,API,Google,0,1,5.0,727.0,5.0,Email Opened,India,,Unemployed,Better Career Prospects,Will revert after reading the email,Thane & Outskirts,0
115,659357,Landing Page Submission,Google,0,0,8.0,652.0,4.0,Unreachable,India,Hospitality Management,Unemployed,Better Career Prospects,Ringing,Mumbai,0
116,659345,API,Organic Search,0,0,4.0,1248.0,1.33,Email Opened,India,,Unemployed,Better Career Prospects,,Mumbai,0
117,659334,API,Google,0,0,2.0,767.0,2.0,Email Opened,India,,Unemployed,Better Career Prospects,Already a student,Mumbai,0
118,659293,API,Referral Sites,0,0,10.0,275.0,3.33,Page Visited on Website,India,,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
119,659287,API,Organic Search,0,0,3.0,273.0,3.0,Converted to Lead,India,,Unemployed,Better Career Prospects,switched off,Mumbai,0
120,659283,Lead Add Form,Reference,0,1,3.2206964736899923,1111.0,2.2589443040755794,Email Opened,India,Marketing Management,Working Professional,Better Career Prospects,Closed by Horizzon,Other Cities,0
121,659281,Landing Page Submission,Google,0,0,8.0,277.0,4.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,,Mumbai,0
122,659263,API,Organic Search,0,1,3.0,1207.0,1.5,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,,Mumbai,0
123,659248,API,Google,0,0,2.0,39.0,1.0,Converted to Lead,India,,Unemployed,Better Career Prospects,,Mumbai,0
124,659244,Landing Page Submission,Google,0,0,4.0,1638.0,4.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,Ringing,Mumbai,1
125,659241,API,Referral Sites,0,0,11.0,53.0,6.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,,Mumbai,0
126,659238,Landing Page Submission,Direct Traffic,0,0,1.0,127.0,1.0,Converted to Lead,India,Finance Management,Unemployed,Better Career Prospects,Already a student,Mumbai,1
127,659221,Landing Page Submission,Organic Search,1,0,5.0,100.0,5.0,Page Visited on Website,India,Supply Chain Management,Unemployed,Better Career Prospects,switched off,Mumbai,1
128,659217,Landing Page Submission,Google,1,0,4.0,323.0,4.0,Unsubscribed,India,International Business,Unemployed,Better Career Prospects,,Mumbai,0
129,659203,API,Google,0,1,2.0,160.0,1.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,,Mumbai,0
130,659191,Lead Add Form,Reference,0,1,0.0,0.0,0.0,Email Opened,India,Marketing Management,Businessman,Better Career Prospects,Closed by Horizzon,Mumbai,0
131,659182,API,Google,0,0,1.0,263.0,1.0,Converted to Lead,India,,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
132,659170,API,Google,0,0,2.0,1218.0,2.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
133,659158,Lead Add Form,Reference,0,1,3.2206964736899923,986.0,2.2589443040755794,Email Opened,India,Marketing Management,Working Professional,Better Career Prospects,Closed by Horizzon,Mumbai,0
134,659153,Lead Add Form,Welingak Website,0,1,3.2206964736899923,889.0,2.2589443040755794,Email Opened,India,,Unemployed,Better Career Prospects,,Mumbai,0
135,659146,Landing Page Submission,Google,0,1,5.0,1091.0,5.0,Unreachable,India,Finance Management,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0
136,659142,Landing Page Submission,Direct Traffic,0,0,4.0,291.0,4.0,Olark Chat Conversation,India,Supply Chain Management,Unemployed,Better Career Prospects,,Other Cities,1
137,659141,Lead Add Form,Reference,0,1,0.0,0.0,0.0,Email Opened,India,Hospitality Management,Unemployed,Better Career Prospects,Closed by Horizzon,Thane & Outskirts,0
138,659138,API,Google,1,0,1.0,1759.0,1.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,,Mumbai,0
139,659132,Landing Page Submission,Referral Sites,0,0,7.0,41.0,3.5,Email Opened,India,Services Excellence,Unemployed,Better Career Prospects,,Mumbai,1
140,659123,Landing Page Submission,Google,0,0,5.0,386.0,5.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,Interested in other courses,Thane & Outskirts,0
141,659117,API,Referral Sites,0,0,6.0,216.0,2.0,Page Visited on Website,India,,Unemployed,Better Career Prospects,,Mumbai,0
142,659106,Landing Page Submission,Google,0,1,5.0,1603.0,5.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0
143,659094,Landing Page Submission,google,0,0,7.0,106.0,3.5,Page Visited on Website,India,,Unemployed,Better Career Prospects,,Other Cities,0
144,659079,API,Google,0,0,2.0,73.0,2.0,Unreachable,India,,Unemployed,Better Career Prospects,switched off,Mumbai,0
145,659076,API,Google,0,0,2.0,77.0,2.0,Converted to Lead,India,,Unemployed,Better Career Prospects,,Mumbai,0
146,659074,Landing Page Submission,Direct Traffic,0,0,3.0,718.0,3.0,Unreachable,India,Hospitality Management,Unemployed,Better Career Prospects,,Thane & Outskirts,1
147,659069,Landing Page Submission,Google,0,0,5.0,432.0,1.67,Olark Chat Conversation,India,Marketing Management,Unemployed,Better Career Prospects,,Mumbai,0
148,659057,Landing Page Submission,Google,0,0,5.0,232.0,2.5,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,Interested in other courses,Other Cities,0
149,659050,Landing Page Submission,Direct Traffic,0,0,2.0,702.0,2.0,Email Opened,India,Hospitality Management,Unemployed,Better Career Prospects,Not doing further education,Other Cities,1
150,659038,Landing Page Submission,Organic Search,0,1,5.0,614.0,5.0,Unreachable,India,Finance Management,Unemployed,Better Career Prospects,Will revert after reading the email,Thane & Outskirts,1
151,659036,Landing Page Submission,Direct Traffic,0,1,1.0,1808.0,1.0,Converted to Lead,India,IT Projects Management,Unemployed,Better Career Prospects,Lost to EINS,Thane & Outskirts,1
152,659016,Landing Page Submission,Direct Traffic,1,0,2.0,234.0,1.0,Email Bounced,India,Finance Management,Unemployed,Better Career Prospects,invalid number,Mumbai,1
153,659013,Landing Page Submission,Direct Traffic,0,0,3.0,245.0,3.0,Unreachable,India,Finance Management,Unemployed,Better Career Prospects,Ringing,Thane & Outskirts,1
154,658983,Landing Page Submission,Organic Search,0,1,8.0,1268.0,4.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,1
155,658976,Landing Page Submission,Google,0,0,2.0,56.0,2.0,Email Bounced,India,,Unemployed,Better Career Prospects,switched off,Mumbai,0
156,658932,API,Referral Sites,0,0,4.0,174.0,2.0,Email Link Clicked,India,,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
157,658917,Landing Page Submission,Direct Traffic,0,0,4.0,1149.0,2.0,Email Opened,India,,Unemployed,Better Career Prospects,Ringing,Mumbai,0
158,658888,Landing Page Submission,Direct Traffic,0,0,2.0,333.0,2.0,Email Opened,India,E-COMMERCE,Unemployed,Better Career Prospects,,Other Cities,1
159,658856,API,Organic Search,0,0,7.0,471.0,2.33,Email Opened,India,,Unemployed,Better Career Prospects,switched off,Mumbai,0
160,658852,Landing Page Submission,Direct Traffic,0,1,3.0,1010.0,3.0,Email Opened,India,Supply Chain Management,Unemployed,Better Career Prospects,Will revert after reading the email,Other Metro Cities,1
161,658831,API,Olark Chat,0,1,10.0,1815.0,3.33,Had a Phone Conversation,India,Operations Management,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities of Maharashtra,1
162,658828,Landing Page Submission,Direct Traffic,0,0,2.0,47.0,2.0,Email Link Clicked,India,Business Administration,Unemployed,Better Career Prospects,Ringing,Other Cities,1
163,658826,Landing Page Submission,Direct Traffic,0,1,3.0,1528.0,1.5,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,Will revert after reading the email,Other Cities,1
164,658793,Landing Page Submission,Google,0,1,6.0,919.0,6.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,Will revert after reading the email,Mumbai,0
165,658779,API,Organic Search,0,0,10.0,194.0,5.0,Email Link Clicked,India,Media and Advertising,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,0
166,658773,API,Organic Search,0,0,1.0,1173.0,1.0,Converted to Lead,India,,Unemployed,Better Career Prospects,Ringing,Mumbai,0
167,658766,API,Google,0,0,2.0,351.0,2.0,Email Opened,India,,Unemployed,Better Career Prospects,Ringing,Mumbai,0
168,658756,Landing Page Submission,Referral Sites,0,0,11.0,493.0,6.0,Email Link Clicked,India,Marketing Management,Unemployed,Better Career Prospects,,Thane & Outskirts,1
169,658744,Landing Page Submission,Direct Traffic,0,0,3.0,381.0,1.5,Page Visited on Website,India,Operations Management,Unemployed,Better Career Prospects,Ringing,Thane & Outskirts,1
170,658714,API,Referral Sites,0,0,2.0,1944.0,2.0,Email Opened,India,,Unemployed,Better Career Prospects,,Mumbai,0
171,658689,Landing Page Submission,Google,0,0,5.0,65.0,5.0,Unreachable,India,Human Resource Management,Unemployed,Better Career Prospects,Ringing,Thane & Outskirts,0
172,658686,API,Organic Search,0,0,7.0,1334.0,6.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,Interested in other courses,Mumbai,1
173,658677,API,Google,0,0,7.0,615.0,6.0,Form Submitted on Website,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,Interested in other courses,Thane & Outskirts,0
174,658675,Lead Add Form,Reference,0,1,0.0,0.0,0.0,Email Opened,India,Finance Management,Working Professional,Better Career Prospects,Will revert after reading the email,Mumbai,0
175,658656,API,Google,0,0,1.0,250.0,1.0,Email Bounced,India,,Unemployed,Better Career Prospects,wrong number given,Mumbai,0
176,658652,Landing Page Submission,Direct Traffic,0,0,2.0,383.0,2.0,Email Link Clicked,India,Business Administration,Unemployed,Better Career Prospects,,Other Metro Cities,1
177,658648,Lead Add Form,Welingak Website,0,1,3.2206964736899923,1240.0,2.2589443040755794,Email Opened,India,,Unemployed,Better Career Prospects,Closed by Horizzon,Mumbai,0
178,658634,Lead Add Form,Reference,0,1,0.0,0.0,0.0,Email Opened,India,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,Will revert after reading the email,Mumbai,0
